Status Conciliação;Data Crédito;Administradora;Estabelecimento;Parcela;Valor Bruto;Valor Desconto;Valor Desconto Antecipado;Valor Pago;Status Pagamento;Bandeira;Data Resumo;Nº Resumo;Produto;Banco;Agência;Conta;Ident. Transação;Ponto de Venda;Tipo de Venda;Forma de Pagamento;Status Conc. Bancaria;Taxa (%);Total de Parcelas;CNPJ
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO TAIPAS;1;951,49;27,40;0,00;916,74;Pago;Sodexo Alimentação;2025-01-16;0000458870;Sodexo alimentação;Banco Santander;2271;13004406;;1585223;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0025-74
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTO AMARO - NAÇÕES;1;51,84;1,49;0,00;49,82;Pago;Sodexo Alimentação;2025-01-20;0000464025;Sodexo alimentação;Banco Santander;2271;13004406;;1585220;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0021-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SALTO;1;70,44;2,03;0,00;67,68;Pago;Sodexo Alimentação;2025-01-18;0000414511;Sodexo alimentação;Banco Santander;2271;13004406;;2786800;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0047-80
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARUJA;1;25,72;0,74;0,00;24,72;Pago;Sodexo Alimentação;2025-01-20;0000828411;Sodexo alimentação;Banco Santander;2271;13004406;;1585214;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0014-11
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTOS;1;232,90;6,71;0,00;223,79;Pago;Sodexo Alimentação;2025-01-19;0000478877;Sodexo alimentação;Banco Santander;2271;13004406;;1716808;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0029-06
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MOOCA;1;17,31;0,50;0,00;16,63;Pago;Sodexo Alimentação;2025-01-23;0000457133;Sodexo alimentação;Banco Santander;2271;13004406;;1585185;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0003-69
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SÃO JOSÉ;1;65,89;1,90;0,00;63,31;Pago;Sodexo Alimentação;2025-01-21;0000458595;Sodexo alimentação;Banco Santander;2271;13004406;;1634325;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0026-55
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO INDAIATUBA;1;25,89;0,75;0,00;24,87;Pago;Sodexo Alimentação;2025-01-20;0000408283;Sodexo alimentação;Banco Santander;2271;13004406;;3069095;Voucher à Vista;Antecipado;Não Conciliado;2,90;1;05.800.256/0050-85
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPINAS;1;0,94;0,03;0,00;0,90;Pago;Sodexo Alimentação;2025-01-22;0000439693;Sodexo alimentação;Banco Santander;2271;13004406;;2271068;Voucher à Vista;Antecipado;Não Conciliado;3,19;1;05.800.256/0037-08
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO INDAIATUBA;1;23,36;0,67;0,00;22,45;Pago;Sodexo Alimentação;2025-01-23;0000408320;Sodexo alimentação;Banco Santander;2271;13004406;;3069095;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0050-85
